"id","gender","role","language_english","duration_in_days","publications","organic_tweets","follower_global","followees_global","follower_researcher","follower_researcher_phd","follower_researcher_prof","follower_researcher_male","follower_researcher_female","follower_researcher_male_phd","follower_researcher_male_prof","follower_researcher_female_phd","follower_researcher_female_prof","follower_reciprocal_researcher","follower_reciprocal_researcher_phd","follower_reciprocal_researcher_prof","follower_reciprocal_researcher_male","follower_reciprocal_researcher_female","follower_reciprocal_researcher_male_phd","follower_reciprocal_researcher_male_prof","follower_reciprocal_researcher_female_phd","follower_reciprocal_researcher_female_prof","screen_name","real_name","dblp_url","twitter_screen_name","location0x2Eexists","has0x2Eurl","url0x2Ehas0x2Etilde","url0x2Ehas0x2Eacademic0x2Edomain","has0x2Edescription","description0x2Ehas0x2Epattern","language","default0x2Eprofile0x2Eimage","nof0x2Etweets","nof0x2Efollowers","nof0x2Efriends","friend0x2Efollower0x2Eratio","nof0x2Eself0x2Etweets","nof0x2Eretweets","retweet0x2Etweet0x2Eratio","nof0x2Etweets0x2Ewith0x2Eurl","fraction0x2Eof0x2Etweets0x2Ewith0x2Eurl","nof0x2Econf0x2Ehashtags","nof0x2Edistinct0x2Ehashtags","nof0x2Eoverall0x2Ehashtags","fraction0x2Eof0x2Edistinct0x2Ehashtags","nof0x2Econf0x2Ementions",
382393,"NA    ","NA       ",1,2557,"37 ",65,1368,916,127,25,14,72,16,12,6,3,3,64,5,12,37,12,2,6,1,3,"ciro           ","Ciro Cattuto          ","http://dblp.uni-trier.de/pers/hd/c/Cattuto:Ciro.html          ","ciro           ","True ","True ","True ","False","True ","True ","True ","False",1253,1368,916,0.6696,"928 ","337 ","0.2664","537 ","0.4245","315  ","330 ","682  ","0.4839","12",
413373,"NA    ","NA       ",1,2556,"8  ",645,1086,1596,14,0,0,10,1,0,0,0,0,14,0,0,10,1,0,0,0,0,"ashok          ","Ashok Argent-katwala  ","http://dblp.uni-trier.de/pers/hd/a/Argent=katwala:Ashok.html  ","ashok          ","True ","True ","False","False","True ","True ","True ","False",7032,1086,1596,1.4696,"2319","868 ","0.2724","466 ","0.1462","29   ","437 ","623  ","0.7014","3 ",
519483,"male  ","phd      ",1,2554,"1  ",390,605,915,3,1,0,2,1,0,0,1,0,3,1,0,2,1,0,0,1,0,"slacko         ","Davide Fucci          ","http://dblp.uni-trier.de/pers/hd/f/Fucci:Davide.html          ","slacko         ","True ","True ","False","False","True ","True ","True ","False",10151,605,915,1.5124,"NA  ","NA  ","NA    ","NA  ","NA    ","NA   ","NA  ","NA   ","NA    ","NA",
570503,"NA    ","NA       ",1,2552,"3  ",229,1848,348,110,21,28,42,32,3,14,8,9,38,3,10,14,15,0,5,1,5,"fstutzman      ","Fred Stutzman         ","http://dblp.uni-trier.de/pers/hd/s/Stutzman:Fred.html         ","fstutzman      ","True ","True ","False","False","True ","False","True ","False",2683,1848,348,0.1883,"2136","566 ","0.2095","585 ","0.2165","108  ","155 ","271  ","0.572 ","7 ",
586003,"NA    ","NA       ",1,2552,"16 ",173,187,426,7,1,1,4,2,1,1,0,0,7,1,1,4,2,1,1,0,0,"m_tesconi      ","Maurizio Tesconi      ","http://dblp.uni-trier.de/pers/hd/t/Tesconi:Maurizio.html      ","m_tesconi      ","True ","True ","False","False","True ","True ","True ","False",458,187,426,2.278,"NA  ","NA  ","NA    ","NA  ","NA    ","NA   ","NA  ","NA   ","NA    ","NA",
607093,"male  ","NA       ",1,2551,"1  ",1067,1951,2141,11,0,0,6,2,0,0,0,0,8,0,0,4,2,0,0,0,0,"rberger        ","Robert J. Berger      ","http://dblp.uni-trier.de/pers/hd/b/Berger:Robert_J=.html      ","rberger        ","True ","True ","False","False","True ","False","True ","False",7285,1951,2141,1.0974,"2052","1133","0.3557","1915","0.6013","516  ","605 ","1492 ","0.4055","12",
609743,"male  ","NA       ",1,2550,"2  ",101,261,324,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Mat_Jack1      ","Matteo Giaccone       ","http://dblp.uni-trier.de/pers/hd/g/Giaccone:Matteo.html       ","Mat_Jack1      ","True ","True ","False","False","False","False","True ","False",665,261,324,1.2413,"483 ","184 ","0.2759","256 ","0.3838","69   ","223 ","419  ","0.5322","3 ",
610323,"NA    ","NA       ",1,2550,"18 ",591,883,968,37,4,6,24,1,2,3,0,0,27,3,4,20,0,2,3,0,0,"SergeStinckwich","Serge Stinckwich      ","http://dblp.uni-trier.de/pers/hd/s/Stinckwich:Serge.html      ","SergeStinckwich","True ","True ","False","False","True ","True ","True ","False",7363,883,968,1.0963,"1372","1822","0.5704","1719","0.5382","790  ","646 ","1802 ","0.3585","8 ",
617133,"male  ","NA       ",1,2548,"1  ",288,6025,532,78,5,6,58,1,1,5,1,0,7,1,0,5,0,0,0,0,0,"mza            ","Matt Wood             ","http://dblp.uni-trier.de/pers/hd/w/Wood:Matt.html             ","mza            ","True ","True ","False","False","True ","False","True ","False",5062,6025,532,0.0883,"2898","302 ","0.0944","1189","0.3716","1395 ","417 ","1915 ","0.2178","5 ",
637073,"NA    ","phd      ",1,2542,"14 ",258,980,348,86,12,13,22,23,2,5,5,2,36,3,6,7,13,1,1,1,2,"Manas          ","Manas Tungare         ","http://dblp.uni-trier.de/pers/hd/t/Tungare:Manas.html         ","Manas          ","True ","True ","False","False","True ","True ","True ","False",5282,980,348,0.3551,"2372","809 ","0.2543","833 ","0.2619","104  ","208 ","351  ","0.5926","5 ",
