id,gender,role,language_english,duration_in_days,publications,organic_tweets,follower_global,followees_global,follower_researcher,follower_researcher_phd,follower_researcher_prof,follower_researcher_male,follower_researcher_female,follower_researcher_male_phd,follower_researcher_male_prof,follower_researcher_female_phd,follower_researcher_female_prof,follower_reciprocal_researcher,follower_reciprocal_researcher_phd,follower_reciprocal_researcher_prof,follower_reciprocal_researcher_male,follower_reciprocal_researcher_female,follower_reciprocal_researcher_male_phd,follower_reciprocal_researcher_male_prof,follower_reciprocal_researcher_female_phd,follower_reciprocal_researcher_female_prof,location_exists,has_url,url_has_tilde,url_has_academic_domain,has_description,description_has_pattern,language,default_profile_image,nof_tweets,nof_followers,nof_friends,friend_follower_ratio,nof_self_tweets,nof_retweets,retweet_tweet_ratio,nof_tweets_with_url,fraction_of_tweets_with_url,nof_conf_hashtags,nof_distinct_hashtags,nof_overall_hashtags,fraction_of_distinct_hashtags,nof_conf_mentions
11628,NA    ,NA       ,1,2611,2,421,67914,1104,106,9,4,77,13,5,4,2,0,18,0,1,13,4,0,1,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,7261,67914,1104,0.0163,3156,44,0.0138,591,0.1847,587,772,2054,0.3759,12
12111,male  ,NA       ,1,2607,9,213,1999,2000,121,19,1,75,18,9,0,3,1,86,11,1,54,15,5,0,2,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,12169,1999,2000,1.0005,2539,646,0.2028,654,0.2053,449,775,1200,0.6458,8
12249,male  ,NA       ,1,2605,9,1121,9196,743,23,2,0,16,3,2,0,0,0,3,0,0,2,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,18854,9196,743,0.0808,2887,309,0.0967,476,0.1489,10,153,207,0.7391,2
12270,male  ,NA       ,1,2605,3,210,226,496,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2612,226,496,2.1946,1959,634,0.2445,700,0.27,55,601,849,0.7079,6
12876,male  ,NA       ,1,2601,4,815,6340,1079,169,20,6,97,14,7,4,3,0,33,0,3,23,4,0,2,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,8023,6340,1079,0.1702,2275,922,0.2884,1048,0.3278,542,271,801,0.3383,12
13127,male  ,NA       ,1,2599,3,863,1908,806,113,15,4,75,17,10,2,1,2,40,1,0,29,7,1,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,22364,1908,806,0.4224,2037,1147,0.3602,1177,0.3697,233,284,480,0.5917,2
13350,male  ,NA       ,1,2598,1,1302,22051,3,10,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,4597,22051,3,0.0001,2890,305,0.0955,2205,0.6901,35,157,197,0.797,4
13447,male  ,professor,1,2597,27,414,895,714,58,19,7,27,17,13,5,3,0,35,10,6,18,10,7,4,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5560,895,714,0.7978,2988,210,0.0657,408,0.1276,174,225,495,0.4545,8
13567,male  ,NA       ,1,2597,1,2036,33071,1170,82,6,2,48,8,1,2,1,0,6,0,0,4,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,76177,33071,1170,0.0354,3088,111,0.0347,1813,0.5667,74,174,298,0.5839,3
18713,male  ,NA       ,1,2595,1,822,39746,237,147,17,7,91,10,7,5,3,0,10,0,1,10,0,0,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,27339,39746,237,0.006,2791,400,0.1254,746,0.2338,30,84,128,0.6563,4
27763,male  ,NA       ,1,2590,2,54,46,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,963,46,120,2.6081,962,2,0.0021,19,0.0197,13,16,45,0.3556,0
32193,male  ,NA       ,1,2588,1,516,1384,1035,5,0,0,3,1,0,0,0,0,3,0,0,2,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,13346,1384,1035,0.7478,2912,275,0.0863,361,0.1133,136,349,756,0.4616,4
32973,male  ,professor,1,2588,3,169,856,235,38,4,11,15,15,1,4,2,5,21,0,8,10,9,0,3,0,4,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2589,856,235,0.2745,2259,334,0.1288,197,0.076,359,375,1839,0.2039,3
42283,NA    ,NA       ,1,2583,7,0,541,346,2,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,990,541,346,0.6395,973,17,0.0172,4,0.004,45,36,99,0.3636,1
44423,male  ,NA       ,1,2582,1,268,32164,555,153,15,9,96,9,6,8,0,0,16,0,0,11,3,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,4003,32164,555,0.0173,2865,328,0.1027,288,0.0902,43,234,364,0.6429,11
49793,male  ,NA       ,1,2580,1,326,92659,655,245,32,19,134,30,13,8,3,3,21,0,2,12,6,0,1,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5330,92659,655,0.0071,2258,931,0.2919,1064,0.3336,122,304,455,0.6681,7
51673,male  ,NA       ,1,2580,5,1091,997,396,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,47998,997,396,0.3972,2494,698,0.2187,519,0.1626,58,358,451,0.7938,3
57203,male  ,NA       ,1,2577,1,885,22565,3780,104,7,6,67,20,2,5,4,1,40,3,2,22,11,0,1,2,1,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,64526,22565,3780,0.1675,2311,889,0.2778,849,0.2653,733,183,1035,0.1768,9
81213,male  ,NA       ,0,2568,1,1025,2984,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,FALSE,FALSE,54943,2984,1673,0.5607,2328,864,0.2707,1432,0.4486,30,429,600,0.715,4
92623,male  ,NA       ,1,2567,10,1237,8527,8502,46,0,2,28,2,0,2,0,0,27,0,2,19,2,0,2,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,14795,8527,8502,0.9971,3008,190,0.0594,2506,0.7836,1500,450,3376,0.1333,2
101353,male  ,NA       ,1,2567,3,350,558,255,21,3,1,14,0,2,1,0,0,6,2,0,3,0,2,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,4674,558,255,0.457,2570,626,0.1959,1121,0.3508,89,307,491,0.6253,7
105223,male  ,NA       ,1,2567,5,351,2462,391,26,4,6,12,10,1,5,1,1,3,0,1,1,2,0,1,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,2502,2462,391,0.1588,2219,282,0.1128,513,0.2051,299,299,1107,0.2701,8
113963,male  ,NA       ,1,2567,36,789,54112,115,408,43,27,215,22,16,17,2,0,4,0,0,3,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,7514,54112,115,0.0021,3139,60,0.0188,1467,0.4586,689,537,1598,0.336,13
117723,male  ,NA       ,1,2567,2,602,4181,1462,58,4,4,34,12,3,3,0,1,35,1,1,21,11,1,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,7083,4181,1462,0.3497,2200,997,0.3119,1407,0.4401,621,637,1502,0.4241,13
152143,NA    ,professor,1,2566,15,265,5826,657,156,28,31,71,44,7,18,10,10,43,3,16,20,15,0,9,2,5,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2742,5826,657,0.1128,2734,13,0.0047,457,0.1664,44,178,304,0.5855,7
205523,male  ,NA       ,1,2565,7,806,1041,768,20,5,3,11,7,1,2,2,1,20,5,3,11,7,1,2,2,1,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,7923,1041,768,0.7377,2792,399,0.125,637,0.1996,360,251,846,0.2967,3
307833,NA    ,NA       ,1,2560,4,1073,2454,625,69,9,1,42,8,4,1,2,0,18,1,0,13,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,69240,2454,625,0.2547,2707,492,0.1538,393,0.1229,21,87,127,0.685,5
347133,male  ,NA       ,1,2559,4,1440,162883,204,73,5,16,41,12,3,9,1,3,3,0,2,2,1,0,2,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,8704,162883,204,0.0013,2777,419,0.1311,2787,0.872,204,1034,1626,0.6359,4
382393,NA    ,NA       ,1,2557,37,65,1368,916,127,25,14,72,16,12,6,3,3,64,5,12,37,12,2,6,1,3,True ,True ,True ,FALSE,True ,True ,True ,FALSE,1253,1368,916,0.6696,928,337,0.2664,537,0.4245,315,330,682,0.4839,12
413373,NA    ,NA       ,1,2556,8,645,1086,1596,14,0,0,10,1,0,0,0,0,14,0,0,10,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,7032,1086,1596,1.4696,2319,868,0.2724,466,0.1462,29,437,623,0.7014,3
519483,male  ,phd      ,1,2554,1,390,605,915,3,1,0,2,1,0,0,1,0,3,1,0,2,1,0,0,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,10151,605,915,1.5124,NA  ,NA  ,NA    ,NA  ,NA    ,NA   ,NA  ,NA   ,NA    ,NA
570503,NA    ,NA       ,1,2552,3,229,1848,348,110,21,28,42,32,3,14,8,9,38,3,10,14,15,0,5,1,5,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,2683,1848,348,0.1883,2136,566,0.2095,585,0.2165,108,155,271,0.572,7
586003,NA    ,NA       ,1,2552,16,173,187,426,7,1,1,4,2,1,1,0,0,7,1,1,4,2,1,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,458,187,426,2.278,NA  ,NA  ,NA    ,NA  ,NA    ,NA   ,NA  ,NA   ,NA    ,NA
607093,male  ,NA       ,1,2551,1,1067,1951,2141,11,0,0,6,2,0,0,0,0,8,0,0,4,2,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,7285,1951,2141,1.0974,2052,1133,0.3557,1915,0.6013,516,605,1492,0.4055,12
609743,male  ,NA       ,1,2550,2,101,261,324,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,665,261,324,1.2413,483,184,0.2759,256,0.3838,69,223,419,0.5322,3
610323,NA    ,NA       ,1,2550,18,591,883,968,37,4,6,24,1,2,3,0,0,27,3,4,20,0,2,3,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,7363,883,968,1.0963,1372,1822,0.5704,1719,0.5382,790,646,1802,0.3585,8
617133,male  ,NA       ,1,2548,1,288,6025,532,78,5,6,58,1,1,5,1,0,7,1,0,5,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,5062,6025,532,0.0883,2898,302,0.0944,1189,0.3716,1395,417,1915,0.2178,5
637073,NA    ,phd      ,1,2542,14,258,980,348,86,12,13,22,23,2,5,5,2,36,3,6,7,13,1,1,1,2,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5282,980,348,0.3551,2372,809,0.2543,833,0.2619,104,208,351,0.5926,5
646533,male  ,NA       ,1,2541,10,1037,71032,329,100,3,3,68,9,2,2,0,0,5,0,0,4,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,22908,71032,329,0.0046,2892,305,0.0954,529,0.1655,14,156,178,0.8764,3
657863,male  ,NA       ,1,2539,5,437,1444055,513,392,39,17,236,33,17,13,5,0,6,0,0,5,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,9308,1444055,513,0.0004,2887,306,0.0958,1125,0.3523,19,175,241,0.7261,6
661833,NA    ,NA       ,1,2539,5,3,171,449,10,4,1,5,1,0,1,1,0,8,3,1,4,1,0,1,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1060,171,449,2.6256,837,220,0.2081,132,0.1249,49,115,131,0.8779,5
669083,male  ,NA       ,1,2537,2,57,340,157,14,1,0,12,1,1,0,0,0,9,1,0,8,1,1,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,490,340,157,0.4618,475,13,0.0266,39,0.0799,0,5,5,1,0
672313,male  ,NA       ,1,2537,70,3,236,30,60,13,4,28,12,9,1,2,2,7,1,0,2,1,0,0,1,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,33,236,30,0.1271,21,12,0.3636,14,0.4242,26,26,47,0.5532,1
680413,male  ,NA       ,1,2535,1,51,353,47,11,0,0,11,0,0,0,0,0,2,0,0,2,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,415,353,47,0.1331,343,79,0.1872,113,0.2678,27,65,102,0.6373,1
681813,female,NA       ,1,2535,7,701,54384,678,202,19,27,119,33,5,21,7,3,10,0,1,5,1,0,0,0,1,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,21893,54384,678,0.0125,2487,708,0.2216,576,0.1803,57,320,464,0.6897,7
688183,male  ,NA       ,1,2534,16,31,97,124,8,2,1,2,5,0,1,2,0,6,1,1,2,3,0,1,1,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,53,97,124,1.2782,45,10,0.1818,9,0.1636,2,14,15,0.9333,0
689933,male  ,NA       ,1,2534,1,0,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,3,11,36,3.2698,2,0,0,1,0.5,1,2,2,1,0
696333,NA    ,NA       ,1,2533,4,183,1461,325,9,3,1,1,5,0,0,2,1,5,1,1,1,2,0,0,0,1,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,2957,1461,325,0.2224,2340,613,0.2076,709,0.2401,61,326,409,0.7971,7
707893,male  ,NA       ,1,2531,2,324,3364,1549,17,0,1,8,4,0,1,0,0,13,0,1,6,4,0,1,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,4420,3364,1549,0.4605,3073,126,0.0394,617,0.1929,936,304,1510,0.2013,3
711983,male  ,NA       ,1,2530,2,252,44,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,5969,44,154,3.4992,1453,1727,0.5431,559,0.1758,29,159,180,0.8833,4
722573,male  ,NA       ,1,2528,1,16,890,1196,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1272,890,1196,1.3438,1224,48,0.0377,36,0.0283,10,85,118,0.7203,4
733293,male  ,NA       ,1,2527,1,51,92,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,1179,92,196,2.1302,1026,152,0.129,357,0.3031,30,132,161,0.8199,1
738853,male  ,NA       ,1,2526,3,254,2164,150,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,16622,2164,150,0.0693,1924,1242,0.3923,1173,0.3705,18,193,235,0.8213,7
750093,female,professor,1,2523,23,591,2284,660,292,63,57,113,60,20,29,12,12,126,22,38,56,30,7,17,6,7,True ,True ,FALSE,True ,True ,True ,True ,FALSE,14328,2284,660,0.289,3041,103,0.0328,769,0.2446,141,108,284,0.3803,7
755373,female,NA       ,1,2520,21,51,904,224,150,37,34,62,34,12,14,9,10,56,9,20,24,15,4,8,2,5,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1387,904,224,0.2478,1255,132,0.0952,101,0.0728,323,117,445,0.2629,3
755541,male  ,NA       ,1,2519,1,643,304,486,12,3,2,6,3,2,1,0,1,9,3,1,5,2,2,1,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,5498,304,486,1.5986,2825,365,0.1144,428,0.1342,52,302,437,0.6911,3
756137,male  ,phd      ,1,2519,5,0,83,84,4,1,1,1,2,1,0,0,0,2,0,1,0,1,0,0,0,0,True ,True ,True ,True ,True ,True ,True ,FALSE,636,83,84,1.0119,629,7,0.011,6,0.0094,16,36,49,0.7347,0
759249,male  ,NA       ,1,2517,12,177,1386,477,85,21,13,35,9,8,7,1,1,37,2,11,19,6,1,6,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2379,1386,477,0.3442,1518,881,0.3672,562,0.2343,58,170,246,0.6911,5
759574,male  ,NA       ,1,2517,4,4,57,61,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,FALSE,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,253,57,61,1.07,245,8,0.0316,32,0.1265,7,10,18,0.5556,0
759720,NA    ,NA       ,1,2517,18,547,1393,592,45,4,5,20,4,1,1,0,0,21,1,5,8,2,0,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,9528,1393,592,0.425,2521,678,0.2119,1598,0.4995,843,622,1605,0.3875,21
764953,male  ,professor,1,2515,65,423,1761,434,82,11,12,36,10,3,6,1,1,23,1,6,14,4,0,5,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,3455,1761,434,0.2464,2490,695,0.2182,1126,0.3535,51,288,433,0.6651,5
765548,female,NA       ,1,2515,2,712,37300,1082,751,135,54,362,65,50,26,14,6,75,3,10,47,5,2,5,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,11975,37300,1082,0.029,2957,242,0.0756,906,0.2832,24,95,137,0.6934,8
775791,male  ,NA       ,1,2510,1,1168,1273,1044,5,0,1,4,1,0,0,0,1,4,0,1,3,1,0,0,0,1,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,15166,1273,1044,0.8201,2210,979,0.307,1314,0.412,146,645,956,0.6747,7
778607,male  ,NA       ,1,2508,40,333,1137,1717,33,4,5,19,5,2,2,1,1,28,3,3,19,4,2,2,1,0,True ,True ,True ,True ,True ,FALSE,True ,FALSE,10709,1137,1717,1.5101,3037,163,0.0509,675,0.2109,147,145,337,0.4303,5
779113,male  ,NA       ,1,2508,1,467,696,1381,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,12845,696,1381,1.9842,1741,1446,0.4537,1174,0.3684,120,512,734,0.6975,9
780290,male  ,NA       ,1,2507,51,916,9087,1014,149,14,7,86,22,5,4,2,2,33,0,0,26,5,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,16613,9087,1014,0.1116,3010,190,0.0594,1055,0.3297,452,311,1071,0.2904,14
782364,NA    ,NA       ,1,2506,2,0,135,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,67,135,36,0.2666,67,0,0,0,0,0,0,0,0,0
788498,male  ,NA       ,1,2504,31,226,1457,1326,43,7,3,22,11,3,1,2,1,39,4,3,20,10,1,1,2,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2395,1457,1326,0.9101,2213,182,0.076,932,0.3891,45,167,293,0.57,7
790517,male  ,NA       ,1,2503,1,852,932,1046,19,1,1,14,3,1,1,0,0,18,1,1,13,3,1,1,0,0,True ,True ,FALSE,True ,True ,FALSE,True ,FALSE,9867,932,1046,1.1223,2975,225,0.0703,1170,0.3656,140,397,918,0.4325,6
790550,NA    ,NA       ,1,2503,19,30,228,171,3,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,1317,228,171,0.75,1252,68,0.0515,98,0.0742,5,44,56,0.7857,0
801282,male  ,NA       ,1,2498,1,77,608,1476,23,3,1,14,1,0,1,1,0,15,0,0,9,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,2803,608,1476,2.4276,2175,626,0.2235,451,0.161,117,341,473,0.7209,6
801346,male  ,NA       ,1,2498,3,1,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,23,29,19,0.6549,15,8,0.3478,3,0.1304,0,3,10,0.3,0
803925,NA    ,NA       ,1,2497,22,0,480,188,36,5,5,13,2,1,2,1,0,13,1,3,8,1,0,1,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,167,480,188,0.3917,148,20,0.119,15,0.0893,21,13,33,0.3939,3
804749,male  ,NA       ,1,2497,15,456,3470,1134,27,1,2,16,0,0,1,0,0,14,0,2,10,0,0,1,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,10674,3470,1134,0.3268,1773,1422,0.4451,1176,0.3681,364,489,939,0.5208,11
807515,male  ,professor,1,2495,31,170,1263,354,255,51,48,122,41,24,25,9,9,99,11,27,47,18,7,13,2,4,FALSE,True ,True ,True ,True ,True ,True ,FALSE,1313,1263,354,0.2803,963,348,0.2654,353,0.2693,342,255,712,0.3581,9
808627,male  ,NA       ,1,2495,1,586,74175,553,201,19,17,124,21,10,11,3,1,16,0,0,12,3,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,4088,74175,553,0.0075,2916,273,0.0856,791,0.248,55,218,425,0.5129,7
808824,male  ,phd      ,1,2495,11,1009,2358,1177,26,8,1,10,10,1,0,6,0,23,8,1,8,10,1,0,6,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,21045,2358,1177,0.4991,2899,300,0.0938,998,0.312,28,153,207,0.7391,10
811883,NA    ,phd      ,1,2493,3,276,176,244,13,2,0,5,0,1,0,0,0,6,1,0,3,0,1,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1513,176,244,1.3863,1093,439,0.2866,706,0.4608,50,177,229,0.7729,5
813188,male  ,NA       ,1,2493,10,389,723,242,9,3,1,6,0,1,1,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5472,723,242,0.3347,3050,147,0.046,308,0.0963,31,61,90,0.6778,5
815903,male  ,NA       ,1,2492,76,54,346,25,79,16,12,41,8,7,4,1,2,5,0,0,3,1,0,0,0,0,True ,True ,True ,True ,FALSE,FALSE,True ,FALSE,238,346,25,0.0723,207,31,0.1303,171,0.7185,13,21,51,0.4118,0
816824,NA    ,NA       ,1,2491,7,3,53,58,6,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,220,53,58,1.0941,207,15,0.0676,5,0.0225,4,3,4,0.75,0
817141,male  ,NA       ,1,2491,5,94,4284,667,34,0,0,25,2,0,0,0,0,17,0,0,14,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,10350,4284,667,0.1557,2521,668,0.2095,648,0.2032,85,221,348,0.6351,7
817382,NA    ,NA       ,1,2491,23,109,711,772,50,15,7,17,5,6,3,1,0,37,8,7,13,5,3,3,1,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,1189,711,772,1.0858,1122,72,0.0603,160,0.134,14,27,33,0.8182,2
817540,male  ,NA       ,1,2491,41,514,3256,971,268,40,12,152,37,19,8,5,2,155,21,8,96,22,9,6,2,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5284,3256,971,0.2982,1888,1304,0.4085,1728,0.5414,1447,761,2247,0.3387,18
823083,male  ,NA       ,1,2490,1,408,41545,1048,187,10,6,122,10,5,5,1,0,18,0,0,15,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,34513,41545,1048,0.0252,2672,524,0.164,586,0.1834,27,111,154,0.7208,3
823610,NA    ,NA       ,1,2489,44,2,60,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,165,60,66,1.0998,158,7,0.0424,4,0.0242,7,20,22,0.9091,1
