twitter	name	h_index	h_2014	i10_index	i10_2014	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
mlocasto	Michael E. Locasto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mlsec	Konrad Rieck	36	31	60	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	48	74	146	175	261	249	330	424	630	758	896	1197	1024
Mlthompson73	Michael Thompson	16	15	29	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	36	55	55	79	62	109	128	150	189	180	179	177	227	220	220
mluessi	Martin Luessi	14	12	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	43	46	92	172	192	272	356	486
mluis112789	Luis Munoz	61	41	420	232	0	0	0	0	0	0	0	0	0	0	0	63	48	80	81	81	107	131	132	189	236	254	297	346	389	502	607	688	762	752	810	1100	1318	1330	1396	1423	1494	1543	1630	1416
mlukasik2	Michal Lukasik	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	6	35	65	71	99
mmaaiiddeerr	Maider Azanza	9	6	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	18	12	21	15	27	32	37	25	40	29	20
MMahlberg	Michael Mahlberg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmalohlava	Michal Malohlava	11	7	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	8	33	46	46	29	26	20	18	27	29
MMamdouh12	Mohamed Mamdouh	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	1	8	18
mmantyla	Mika Mäntylä	30	28	49	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	18	26	37	94	77	97	117	182	237	328	502	647	687
mmaraz	Manolis Marazakis	15	11	27	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	25	20	17	17	19	13	17	8	12	16	15	21	25	29	45	28	34	45	52	70	84	81
m_matuszak	Michal Matuszak	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	12	16	14	11	18	19
mmendozarocha	Marcelo Mendoza	17	14	28	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	30	52	67	79	90	163	284	411	452	533	582	579	604	608
mmenning	Mathias Menninghaus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmephitis	Michael Albers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMiiina	Mina Doroud	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	4	7	3	4	5	3	10	9
mmjb86	Marc Brockschmidt	20	19	32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	56	36	81	96	136	278	545	825
mmmgaber	Mohamed Medhat Gaber	36	26	90	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	63	112	133	216	259	297	268	354	468	443	436	540	511	573
mmoffitt	Michael D. Moffitt	16	11	26	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	8	6	5	3	6	8	17	45	53	45	48	68	76	92	138	94	93	74	75	72	45
mmshashkov	Mikhail M. Shashkov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmzeroexp	Margaret Warren	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mn0kel	Michael Nokel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mnasiruddin	Mohammad Nasiruddin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MNesrin2	Nesrine Mezhoudi	5	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	7	4	8	21	13	16	20
mnick	Maximilian Nickel	17	17	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	46	112	209	308	504	640	965
mnoukhiya	Bilel Hadri	11	9	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	7	8	11	56	78	83	108	100	100	112	68	74	53
mnr12	Maryam Najafian	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	74	58	37	32
MNTechWriter	Sara Smith	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MobileAppChris	Christopher Collins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
modevision	David Phelan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MODOmation	Shane Griffith	8	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	28	20	29	34	40	68	60	69	68
mofoghlu	Mícheál ó Foghlú	14	8	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	7	18	14	41	120	94	111	84	64	58	53	42	33	36	21
MOHalhmed	Mohamed Ali	57	40	357	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	76	55	80	97	103	138	159	232	258	328	391	428	478	487	517	593	745	796	895	1120	1270	1359	1580	1634	2175
MohamedFAhmed	Mohamed F. Ahmed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mohamedmansour	Mohamed Mansour	30	21	90	52	0	0	0	0	0	0	0	0	16	17	15	11	18	14	32	14	12	12	27	30	22	29	52	61	80	106	95	128	160	181	228	241	284	351	361	457	360	402	446	501
MohamedOAhmed	Mohamed Osama Ahmed	7	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	27	55	62	83	53
mohamed_reda_	Mohamed Nour	10	8	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	7	4	13	14	14	27	26	22	28	27	24	24	16
mohammadmoghimi	Mohammad Moghimi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mohammad_s86	Mohammad Saeed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MohammedAlaa	Mohammed Alaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MohammedMaree	Mohammed Maree	5	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	4	3	14	12	25	27	20
mohamso	Mohammed Sourouri	7	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	18	12	23	23	21
MohsenAsadi62	Mohsen Asadi	16	13	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	40	62	60	129	91	109	81	107	106
mohsensardari	Mohsen Sardari	15	13	19	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	25	55	64	114	132	101	70	63	59
MohsenVakilian	Mohsen Vakilian	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	51	75	86	118	114	142	104	93	83	51
mojoneill	Michael O'neill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m_okmt	Masayuki Okamoto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mokogobo	Michael Gubbels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mokosha	Pavel Krajcevski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
moldovanus	Daniel Moldovan	11	10	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	13	19	56	106	107	78	49	42
Moloch716	Henry Wong	8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	57	116	170	240	260	289	285	249	266	198
Momhain	Romain Gautier	17	16	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	24	38	56	94	101	89	91	123	171	234	244	260	324	324
mommi84	Tommaso Soru	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	25	57	84	101	94
Mona_Leigh	Mona Leigh Guha	22	19	31	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	38	52	68	100	93	99	140	122	164	201	218	154	213	248	258	228
mongojones	Jeremy Jones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MonicaBruin	Monica Garcia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MonicaMaceli	Monica Maceli	6	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9	6	18	12	21	20	31
MonicaMuses	Monica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MonicaPalmirani	Monica Palmirani	20	16	39	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	12	8	32	29	96	34	75	69	144	76	126	138	149	170	209
MonicaSaramago	Mónica Saramago	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monizuka	Makoto Onizuka	16	12	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	12	48	63	69	77	106	96	80	59	54	42	65	86	99	89	102	107	119
monmonach	Monica Monachini	24	14	58	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	14	13	17	33	45	41	53	31	114	111	189	138	177	133	217	207	199	125	180	92	100	63
monot	Joonhwan Lee	10	9	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	12	18	10	14	16	24	49	50	39	31	66	69
monsterjavaguns	Jason Van Gumster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
montsgarg	Vikas Garg	10	8	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	11	27	29	60	54	63	50
MoodyCreatus	Ryan Johnson	15	14	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	43	71	63	83	106	105	64	79	72	81	96	106	113	92	151	136	140
moonsjan	Jan Moons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
moo_ra	Moo-ryong Ra	10	9	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	33	62	125	173	203	213	207	229	183
moquanyi	Quanyi Mo	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	3	4	4	8	12	15	9	9
morgan3d	Morgan Mcguire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
morgandixon	Morgan Dixon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
morgangames	Morgan G. Ames	22	22	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	27	57	88	107	164	220	248	297	235	264	256	317	358	362	342	327
morgan_it	Morgan Magnin	10	9	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	9	18	31	16	31	52	43	48	52	60	54	54	43
morispaa	Mikko Orispää	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morris1100	Pete Sawyer	39	25	98	51	0	0	0	0	0	0	0	0	0	0	0	0	29	35	62	74	85	74	96	156	190	168	223	225	272	347	296	402	413	460	459	490	535	590	569	534	514	444	505	364
MorrisonAJ	Alistair Morrison	15	13	25	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	6	6	5	6	27	33	17	46	42	31	42	50	57	54	51	76	115	149	156	176	144
mort___	Richard Mortier	36	28	88	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	35	69	139	152	164	229	243	243	275	250	303	384	473	617	654	656	806	655
MortenEsbensen	Morten Esbensen	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	5	27	30	25	25	23
mortenlindeberg	Morten Lindeberg	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	19	27	20	20	28	12	14	8
mortenwagner	Morten Wagner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
morville	Peter Morville	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MosaicMarj	Marj Kleinman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mosharaf	Mosharaf Chowdhury	23	22	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	308	613	947	1296	2113	2942	2797	2680	2194
moshido	Mi Shi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
moshtan	Mozhgan Tavakolifard	12	8	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	16	20	27	37	46	50	45	37	32	32
Mostafa11235838	Mostafa Abdelrahman	9	7	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	14	19	40	29	22	30	27
mostalive	Willem Van Den Ende	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mosyoussef	Moustafa Youssef	52	43	125	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	193	314	388	437	458	473	559	596	767	972	1170	1348	1495	1388	1544	1315
motai56	Goro Motai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motion_Mechanic	Philip Taylor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motivatier	John Johnson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
motokawashima	Motonobu Kawashima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
motus2	Sergiy Matusevych	5	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	13	15	13	13	34
mounialalmas	Mounia Lalmas	46	27	164	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	23	100	41	90	98	124	215	229	320	501	488	375	462	483	401	426	430	428	412	469	467	503	453
moustafaghanem	Moustafa Ghanem	25	18	55	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	8	23	16	26	26	36	71	84	90	105	124	130	177	137	180	254	278	316	288	266	197	157
moustaki	Yves Raimond	22	15	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	74	163	241	213	204	184	191	198	202	186	187	123
mpaciello	Mike Paciello	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPAlonso	Manuel Perez-alonso	19	14	32	18	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	13	17	15	22	38	118	134	83	76	107	90	93	89	126	81	112	132	124	129	127	99	106	108	124	93
mpetit	Marc Petit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mpetyx	Michael Petychakis	8	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	11	41	22	32	39	23
mpgros	Matthew P. Grosvenor	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	22	66	84	76	73
mphielipp	Mariano Phielipp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mPhreak	Mohit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mphuget	Marc-philippe Huget	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mpoppendieck	Mary Poppendieck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPPVM	Maarten Van Mechelen	10	9	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	15	23	45	61	66
mprogers	Michael Rogers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mprymek	Miroslav Prýmek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mqolf	Marcos Lage	8	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	9	7	21	17	17	8	17	10	22	43	71	58
mr_abhishek_s	Abhishek Singh	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mr_Ady_Smith	Adrian Smith	50	42	151	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	73	92	85	151	252	271	429	587	641	963	1129	1402	1550	2118	2208	2702	2355
MrAlanCooper	Alan Cooper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mraubal	Martin Raubal	41	31	108	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	22	34	36	62	127	149	145	247	288	325	279	332	368	418	412	508	478	541	609	667
MrChrisJohnson	Christopher Johnson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrcswntr	Marcus Winter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MrDanielBoland	Daniel Boland	7	7	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	3	18	25	39	43	51
mrdazm	David Small	23	16	41	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	19	27	9	16	12	23	36	28	41	30	35	59	50	41	65	91	88	111	112	118	142	188	247
_mrhyde	Manfred Jackel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrmichaelbale	Michael Bale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrodmx	Mariano Rodriguez	24	22	36	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	35	80	75	167	237	240	252	349	316	273	257
mrogati	Monica Rogati	20	15	25	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	25	42	58	48	59	59	72	105	122	220	168	204	216	235	239	174	124
mrostam48	Masoud Rostami	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	27	38	108	126	166	208	212	198
mrowebot	Matthew Rowe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mroytman	Michael Roytman	4	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	2	13	17	10
Mr_RobertB	Robert Brunner	14	10	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	31	43	79	91	177	251	266	219	193	201	152	180	174	167	183	145	163	138	106	104
MrtinTalbot	Martin Talbot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrvoxel	Chris Gibson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrwersa	Saeed Aghaee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ms705	Malte Schwarzkopf	14	14	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	55	76	116	166	233	282	361	350
m_santana	Miguel Santana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m_schedl	Markus Schedl	37	30	127	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	39	71	103	133	134	179	209	393	368	413	487	635	755	709
