,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
andicat        ,0.00E+00,4.70E+01,2.60E+01,1.13E+02,3.04E+02,4.83E+02,2.83E+02,1.21E+02,4.20E+01,1.28E+02,4.90E+01,9.00E+01,7.60E+01,2.30E+02
WoS            ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.64E+02,7.77E+02,7.77E+02,6.78E+02
mdietz         ,0.00E+00,2.00E+00,1.20E+01,5.31E+02,6.00E+01,3.00E+01,0.00E+00,0.00E+00,0.00E+00,2.00E+00,5.00E+00,4.30E+01,1.50E+01,7.00E+00
deaneckles     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.54E+02,2.28E+03
jbsnyder       ,0.00E+00,1.40E+01,4.10E+01,1.01E+02,4.90E+01,1.80E+01,2.60E+01,4.00E+00,1.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
nitya          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+03
pabloryr       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+02,6.52E+02,3.71E+02,5.02E+02,3.50E+02,2.41E+02,5.24E+02,3.02E+02
hmason         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.58E+02,1.05E+03,6.70E+02,7.24E+02
steveburnett   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.50E+02,1.23E+03,9.71E+02,1.78E+02,1.54E+02
viller         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.76E+02,5.49E+02,7.80E+02,5.49E+02,6.58E+02
comay          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+03,1.95E+03
PaulMiller     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E+03,1.06E+03,6.65E+02,4.95E+02
lychen1109     ,0.00E+00,6.60E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
rbanks         ,0.00E+00,0.00E+00,3.10E+01,7.56E+02,3.39E+02,3.52E+02,4.41E+02,2.94E+02,1.86E+02,4.14E+02,1.95E+02,1.23E+02,6.10E+01,1.20E+01
scharlau       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.22E+02,8.18E+02,7.43E+02,4.83E+02,4.72E+02
uli            ,0.00E+00,1.08E+02,2.24E+02,4.30E+02,1.98E+02,1.20E+02,1.57E+02,7.90E+01,7.30E+01,4.70E+01,6.20E+01,2.00E+01,8.00E+00,6.00E+00
chl            ,0.00E+00,0.00E+00,0.00E+00,1.33E+02,5.67E+02,8.90E+02,3.65E+02,3.19E+02,3.77E+02,2.89E+02,7.00E+01,8.10E+01,5.90E+01,4.60E+01
rpechter       ,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.00E+00,2.00E+00,1.30E+01,5.00E+00,1.20E+01,2.00E+00,2.00E+00,4.00E+01,3.40E+01,7.00E+00
kolari         ,0.00E+00,5.70E+01,1.20E+01,4.40E+01,3.20E+01,2.00E+00,1.60E+01,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.23E+02
PeterBell      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E+02,1.85E+03,9.63E+02
jonfroehlich   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E+02,1.88E+02,3.52E+02,3.60E+02,2.67E+02,3.59E+02,5.12E+02,4.02E+02,2.04E+02,3.89E+02
StevenLevy     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.33E+02,9.64E+02,8.62E+02,5.31E+02,4.15E+02
kmakice        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.30E+01,1.43E+03,1.04E+03,6.15E+02
regisb         ,0.00E+00,2.00E+00,1.00E+00,6.40E+01,1.26E+02,2.82E+02,5.57E+02,4.61E+02,5.64E+02,1.47E+02,4.54E+02,2.15E+02,1.03E+02,8.40E+01
matttrent      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,6.68E+02,1.08E+03,7.57E+02,3.83E+02
timFinin       ,0.00E+00,2.80E+01,6.00E+00,4.00E+00,4.20E+01,4.90E+01,3.50E+01,7.40E+01,1.00E+00,3.10E+01,1.00E+01,9.20E+01,6.00E+01,1.25E+02
ryanhlv        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
